lp;ID_Rosliny;Roslina;Lokalizacja_precyzyjna;Rodzaj_donicy;Lokalizacja_szczegolowa;Strefa_glowna;Pietro
1;P10_R1;Epipremnum;1;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
2;P10_R2;Epipremnum;1;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
3;P10_R3;Epipremnum;2;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
4;P10_R4;Epipremnum;2;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
5;P10_R5;Epipremnum;3;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
6;P10_R6;Epipremnum;3;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
7;P10_R7;Epipremnum;4;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
8;P10_R8;Epipremnum;4;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
9;P10_R9;Epipremnum;5;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
10;P10_R10;Epipremnum;5;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
11;P10_R11;Epipremnum;6;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
12;P10_R12;Epipremnum;6;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
13;P10_R13;Epipremnum;7;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
14;P10_R14;Epipremnum;7;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
15;P10_R15;Epipremnum;8;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
16;P10_R16;Epipremnum;8;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
17;P10_R17;Epipremnum;9;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
18;P10_R18;Epipremnum;9;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
19;P10_R19;Epipremnum;10;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
20;P10_R20;Epipremnum;10;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
21;P10_R21;Epipremnum;11;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
22;P10_R22;Epipremnum;11;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
23;P10_R23;Epipremnum;12;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
24;P10_R24;Epipremnum;12;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
25;P10_R25;Epipremnum;13;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
26;P10_R26;Epipremnum;13;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
27;P10_R27;Epipremnum;14;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
28;P10_R28;Epipremnum;14;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
29;P10_R29;Aglaonema;Lewa;Podwieszona pod oknami;;kuchnia;10
30;P10_R30;Aglaonema;Lewa;Podwieszona pod oknami;;kuchnia;10
31;P10_R31;Epipremnum;Lewa;Podwieszona pod oknami;;kuchnia;10
32;P10_R32;Epipremnum;Lewa;Podwieszona pod oknami;;kuchnia;10
33;P10_R33;Epipremnum;Lewa;Podwieszona pod oknami;;kuchnia;10
34;P10_R34;Epipremnum;Lewa;Podwieszona pod oknami;;kuchnia;10
35;P10_R35;Epipremnum;Lewa;Podwieszona pod oknami;;kuchnia;10
36;P10_R36;Asplenium;Lewa;Podwieszona pod oknami;;kuchnia;10
37;P10_R37;Aglaonema;Środkowa;Podwieszona pod oknami;;kuchnia;10
38;P10_R38;Aglaonema;Środkowa;Podwieszona pod oknami;;kuchnia;10
39;P10_R39;Epipremnum;Środkowa;Podwieszona pod oknami;;kuchnia;10
40;P10_R40;Epipremnum;Środkowa;Podwieszona pod oknami;;kuchnia;10
41;P10_R41;Epipremnum;Środkowa;Podwieszona pod oknami;;kuchnia;10
42;P10_R42;Epipremnum;Środkowa;Podwieszona pod oknami;;kuchnia;10
43;P10_R43;Epipremnum;Środkowa;Podwieszona pod oknami;;kuchnia;10
44;P10_R44;Epipremnum;Środkowa;Podwieszona pod oknami;;kuchnia;10
45;P10_R45;Epipremnum;Środkowa;Podwieszona pod oknami;;kuchnia;10
46;P10_R46;Asplenium;Środkowa;Podwieszona pod oknami;;kuchnia;10
47;P10_R47;Aglaonema;Prawa;Podwieszona pod oknami;;kuchnia;10
48;P10_R48;Aglaonema;Prawa;Podwieszona pod oknami;;kuchnia;10
49;P10_R49;Aglaonema;Prawa;Podwieszona pod oknami;;kuchnia;10
50;P10_R50;Aglaonema;Prawa;Podwieszona pod oknami;;kuchnia;10
51;P10_R51;Epipremnum;Prawa;Podwieszona pod oknami;;kuchnia;10
52;P10_R52;Epipremnum;Prawa;Podwieszona pod oknami;;kuchnia;10
53;P10_R53;Epipremnum;Prawa;Podwieszona pod oknami;;kuchnia;10
54;P10_R54;Epipremnum;Prawa;Podwieszona pod oknami;;kuchnia;10
55;P10_R55;Epipremnum;Prawa;Podwieszona pod oknami;;kuchnia;10
56;P10_R56;Epipremnum;Prawa;Podwieszona pod oknami;;kuchnia;10
57;P10_R57;Zamioculcas;;Wolnostojąca;;kuchnia;10
58;P10_R58;Dracaena marginata;;Wolnostojąca;;kuchnia;10
59;P10_R59;Juka;;Wolnostojąca;;kuchnia;10
60;P10_R60;Fikus cyathistipula;;Wolnostojąca;;kuchnia;10
61;P10_R61;Juka;;Wolnostojąca;;kuchnia;10
62;P10_R62;Strelicja;;Wolnostojąca;;kuchnia;10
63;P10_R63;Juka;;Wolnostojąca;;kuchnia;10
64;P10_R64;Fikus Lyrata;;Wolnostojąca;;kuchnia;10
65;P10_R65;Dracaena reflexa Song of Jamaica;;Wolnostojąca;;kuchnia;10
66;P10_R66;Strelicja;;Wolnostojąca;;kuchnia;10
67;P10_R67;Juka;;Wolnostojąca;;kuchnia;10
68;P10_R68;Dracaena fragrans massangeana;;Wolnostojąca;;kuchnia;10
69;P10_R69;Dracaena reflexa Song of Jamaica;;Wolnostojąca;;kuchnia;10
70;P10_R70;Strelicja;;Wolnostojąca;;kuchnia;10
71;P10_R71;Fikus benjamina;;Wolnostojąca;;kuchnia;10
72;P10_R72;Juka;;Wolnostojąca;;kuchnia;10
73;P10_R73;Epipremnum;1;Z kratką przy elewacji;;kuchnia;10
74;P10_R74;Epipremnum;1;Z kratką przy elewacji;;kuchnia;10
75;P10_R75;Epipremnum;1;Z kratką przy elewacji;;kuchnia;10
76;P10_R76;Epipremnum;2;Z kratką przy elewacji;;kuchnia;10
77;P10_R77;Epipremnum;2;Z kratką przy elewacji;;kuchnia;10
78;P10_R78;Epipremnum;2;Z kratką przy elewacji;;kuchnia;10
79;P10_R79;Epipremnum;3;Z kratką przy elewacji;;kuchnia;10
80;P10_R80;Epipremnum;3;Z kratką przy elewacji;;kuchnia;10
81;P10_R81;Epipremnum;3;Z kratką przy elewacji;;kuchnia;10
82;P10_R82;Epipremnum;4;Z kratką przy elewacji;;kuchnia;10
83;P10_R83;Epipremnum;4;Z kratką przy elewacji;;kuchnia;10
84;P10_R84;Epipremnum;4;Z kratką przy elewacji;;kuchnia;10
85;P10_R85;Epipremnum;5;Z kratką przy elewacji;;kuchnia;10
86;P10_R86;Epipremnum;5;Z kratką przy elewacji;;kuchnia;10
87;P10_R87;Epipremnum;5;Z kratką przy elewacji;;kuchnia;10
88;P10_R88;Epipremnum;6;Z kratką przy elewacji;;kuchnia;10
89;P10_R89;Epipremnum;6;Z kratką przy elewacji;;kuchnia;10
90;P10_R90;Epipremnum;6;Z kratką przy elewacji;;kuchnia;10
91;P10_R91;Epipremnum;1;Mobilna z kratką;;kuchnia;10
92;P10_R92;Epipremnum;1;Mobilna z kratką;;kuchnia;10
93;P10_R93;Epipremnum;2;Mobilna z kratką;;kuchnia;10
94;P10_R94;Epipremnum;2;Mobilna z kratką;;kuchnia;10
95;P10_R95;Epipremnum;3;Mobilna z kratką;;kuchnia;10
96;P10_R96;Epipremnum;3;Mobilna z kratką;;kuchnia;10
97;P10_R97;Monstera;1;Siedziska;;kuchnia;10
98;P10_R98;Monstera;1;Siedziska;;kuchnia;10
99;P10_R99;Monstera;1;Siedziska;;kuchnia;10
100;P10_R100;Monstera;1;Siedziska;;kuchnia;10
101;P10_R101;Aglaonema;1;Siedziska;;kuchnia;10
102;P10_R102;Dracaena;1;Siedziska;;kuchnia;10
103;P10_R103;Dracaena;1;Siedziska;;kuchnia;10
104;P10_R104;Sansevieria;1;Siedziska;;kuchnia;10
105;P10_R105;Agawa;1;Siedziska;;kuchnia;10
106;P10_R106;Agawa;1;Siedziska;;kuchnia;10
107;P10_R107;Agawa;1;Siedziska;;kuchnia;10
108;P10_R108;Epipremnum;1;Siedziska;;kuchnia;10
109;P10_R109;Epipremnum;2;Siedziska;;kuchnia;10
110;P10_R110;Epipremnum;2;Siedziska;;kuchnia;10
111;P10_R111;Epipremnum;2;Siedziska;;kuchnia;10
112;P10_R112;philodenron scandens;2;Siedziska;;kuchnia;10
113;P10_R113;philodenron scandens;2;Siedziska;;kuchnia;10
114;P10_R114;Zamioculcas;2;Siedziska;;kuchnia;10
115;P10_R115;Zamioculcas;2;Siedziska;;kuchnia;10
116;P10_R116;Zamioculcas;2;Siedziska;;kuchnia;10
117;P10_R117;Zamioculcas;2;Siedziska;;kuchnia;10
118;P10_R118;Dracaena anita;2;Siedziska;;kuchnia;10
119;P10_R119;Dracaena anita;2;Siedziska;;kuchnia;10
120;P10_R120;asplenium;2;Siedziska;;kuchnia;10
121;P10_R121;asplenium;3;Siedziska;;kuchnia;10
122;P10_R122;Dracaena;3;Siedziska;;kuchnia;10
123;P10_R123;Dracaena;3;Siedziska;;kuchnia;10
124;P10_R124;Zamioculcas;3;Siedziska;;kuchnia;10
125;P10_R125;Zamioculcas;3;Siedziska;;kuchnia;10
126;P10_R126;Zamioculcas;3;Siedziska;;kuchnia;10
127;P10_R127;Zamioculcas;3;Siedziska;;kuchnia;10
128;P10_R128;philodenron scandens;3;Siedziska;;kuchnia;10
129;P10_R129;philodenron scandens;3;Siedziska;;kuchnia;10
130;P10_R130;asplenium;3;Siedziska;;kuchnia;10
131;P10_R131;asplenium;3;Siedziska;;kuchnia;10
132;P10_R132;Zamioculcas;4;Siedziska;;kuchnia;10
133;P10_R133;Zamioculcas;4;Siedziska;;kuchnia;10
134;P10_R134;Zamioculcas;4;Siedziska;;kuchnia;10
135;P10_R135;Zamioculcas;4;Siedziska;;kuchnia;10
136;P10_R136;Zamioculcas;4;Siedziska;;kuchnia;10
137;P10_R137;Zamioculcas;4;Siedziska;;kuchnia;10
138;P10_R138;Fatsia;4;Siedziska;;kuchnia;10
139;P10_R139;Fatsia;4;Siedziska;;kuchnia;10
140;P10_R140;asplenium;4;Siedziska;;kuchnia;10
141;P10_R141;asplenium;4;Siedziska;;kuchnia;10
142;P10_R142;Dracaena;4;Siedziska;;kuchnia;10
143;P10_R143;Dracaena;4;Siedziska;;kuchnia;10
144;P10_R144;Monstera średnia;;Pod schodami;;Klatka schodowa;10
145;P10_R145;Monstera średnia;;Pod schodami;;Klatka schodowa;10
146;P10_R146;Monstera średnia;;Pod schodami;;Klatka schodowa;10
147;P10_R147;Monstera średnia;;Pod schodami;;Klatka schodowa;10
148;P10_R148;Monstera średnia;;Pod schodami;;Klatka schodowa;10
149;P10_R149;Monstera średnia;;Pod schodami;;Klatka schodowa;10
150;P10_R150;Monstera średnia;;Pod schodami;;Klatka schodowa;10
151;P10_R151;Monstera średnia;;Pod schodami;;Klatka schodowa;10
152;P10_R152;Monstera średnia;;Pod schodami;;Klatka schodowa;10
153;P10_R153;Monstera średnia;;Pod schodami;;Klatka schodowa;10
154;P10_R154;Monstera średnia;;Pod schodami;;Klatka schodowa;10
155;P10_R155;Monstera średnia;;Pod schodami;;Klatka schodowa;10
156;P10_R156;Monstera średnia;;Pod schodami;;Klatka schodowa;10
157;P10_R157;Monstera średnia;;Pod schodami;;Klatka schodowa;10
158;P10_R158;Monstera średnia;;Pod schodami;;Klatka schodowa;10
159;P10_R159;Monstera średnio - mała;;Pod schodami;;Klatka schodowa;10
160;P10_R160;Monstera średnio - mała;;Pod schodami;;Klatka schodowa;10
161;P10_R161;Monstera średnio - mała;;Pod schodami;;Klatka schodowa;10
162;P10_R162;Aglaonema duża;;Pod schodami;;Klatka schodowa;10
163;P10_R163;Aglaonema duża;;Pod schodami;;Klatka schodowa;10
164;P10_R164;Aglaonema duża;;Pod schodami;;Klatka schodowa;10
165;P10_R165;Aglaonema duża;;Pod schodami;;Klatka schodowa;10
166;P10_R166;Aglaonema duża;;Pod schodami;;Klatka schodowa;10
167;P10_R167;Aglaonema duża;;Pod schodami;;Klatka schodowa;10
168;P10_R168;Aglaonema duża;;Pod schodami;;Klatka schodowa;10
169;P10_R169;Aglaonema duża;;Pod schodami;;Klatka schodowa;10
170;P10_R170;Aglaonema duża;;Pod schodami;;Klatka schodowa;10
171;P10_R171;Aglaonema duża;;Pod schodami;;Klatka schodowa;10
172;P10_R172;Aglaonema duża;;Pod schodami;;Klatka schodowa;10
173;P10_R173;Aglaonema duża;;Pod schodami;;Klatka schodowa;10
174;P10_R174;Aglaonema duża;;Pod schodami;;Klatka schodowa;10
175;P10_R175;Aglaonema duża;;Pod schodami;;Klatka schodowa;10
176;P10_R176;Aglaonema duża;;Pod schodami;;Klatka schodowa;10
177;P10_R177;Aglaonema duża;;Pod schodami;;Klatka schodowa;10
178;P10_R178;Dracaena reflexa Song of Jamaica;;Pod schodami;;Klatka schodowa;10
179;P10_R179;Dracaena reflexa Song of Jamaica;;Pod schodami;;Klatka schodowa;10
180;P10_R180;Fikus Lyrata duży;;Pod schodami;;Klatka schodowa;10
181;P10_R181;Fikus Lyrata duży;;Pod schodami;;Klatka schodowa;10
182;P10_R182;Fikus lyrata mały;;Pod schodami;;Klatka schodowa;10
183;P10_R183;Zamioculcas duży;;Pod schodami;;Klatka schodowa;10
184;P10_R184;Zamioculcas duży;;Pod schodami;;Klatka schodowa;10
185;P10_R185;Zamioculcas duży;;Pod schodami;;Klatka schodowa;10
186;P10_R186;Zamioculcas duży;;Pod schodami;;Klatka schodowa;10
187;P10_R187;Zamioculcas duży;;Pod schodami;;Klatka schodowa;10
188;P10_R188;Zamioculcas duży;;Pod schodami;;Klatka schodowa;10
189;P10_R189;Zamioculcas duży;;Pod schodami;;Klatka schodowa;10
190;P10_R190;Zamioculcas duży;;Pod schodami;;Klatka schodowa;10
191;P10_R191;aspidistra;;Pod schodami;;Klatka schodowa;10
192;P10_R192;aspidistra;;Pod schodami;;Klatka schodowa;10
193;P10_R193;aspidistra;;Pod schodami;;Klatka schodowa;10
194;P10_R194;aspidistra;;Pod schodami;;Klatka schodowa;10
195;P10_R195;aspidistra;;Pod schodami;;Klatka schodowa;10
196;P10_R196;aspidistra;;Pod schodami;;Klatka schodowa;10
197;P10_R197;aspidistra;;Pod schodami;;Klatka schodowa;10
198;P10_R198;aspidistra;;Pod schodami;;Klatka schodowa;10
199;P10_R199;philodendron scandens kratka;;Pod schodami;;Klatka schodowa;10
200;P10_R200;philodendron scandens kratka;;Pod schodami;;Klatka schodowa;10
201;P10_R201;philodendron scandens kratka;;Pod schodami;;Klatka schodowa;10
202;P10_R202;philodendron scandens kratka;;Pod schodami;;Klatka schodowa;10
203;P10_R203;philodendron scandens kratka;;Pod schodami;;Klatka schodowa;10
204;P10_R204;Epipremnum;;Pod schodami;;Klatka schodowa;10
205;P10_R205;Epipremnum;;Pod schodami;;Klatka schodowa;10
206;P10_R206;Epipremnum;;Pod schodami;;Klatka schodowa;10
207;P10_R207;Epipremnum;;Pod schodami;;Klatka schodowa;10
208;P10_R208;Epipremnum;;Pod schodami;;Klatka schodowa;10
209;P10_R209;Epipremnum;;Pod schodami;;Klatka schodowa;10
